query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg
7b.sql,479089b0,7,aka_name|cast_info|info_type|link_type|movie_link|name|person_info|title,8,378676288,57.6,1,ok,
7c.sql,86e95064,7,aka_name|cast_info|info_type|link_type|movie_link|name|person_info|title,8,378676288,2698.42,1,ok,
8a.sql,6fbc32b7,6,aka_name|cast_info|company_name|movie_companies|name|role_type|title,7,327687351,136.31,1,ok,
8b.sql,add03255,6,aka_name|cast_info|company_name|movie_companies|name|role_type|title,7,327687351,125.34,1,ok,
8c.sql,a65a12dd,6,aka_name|cast_info|company_name|movie_companies|name|role_type|title,7,327687351,435.41,1,ok,
8d.sql,cc04f064,6,aka_name|cast_info|company_name|movie_companies|name|role_type|title,7,327687351,283.22,1,ok,
9a.sql,dbe9815e,7,aka_name|char_name|cast_info|company_name|movie_companies|name|role_type|title,8,359090741,379.0,1,ok,
9b.sql,c8c876e8,7,aka_name|char_name|cast_info|company_name|movie_companies|name|role_type|title,8,359090741,237.85,1,ok,
9c.sql,bb339d1f,7,aka_name|char_name|cast_info|company_name|movie_companies|name|role_type|title,8,359090741,299.63,1,ok,
9d.sql,e3db8c32,7,aka_name|char_name|cast_info|company_name|movie_companies|name|role_type|title,8,359090741,359.04,1,ok,
